       Strain,STR 10 µg,"CHL 
30 µg","PIT 
100/10 µg","COT 
25 µg","AMC  
30 µg","TET 
30 µg","AMP 
25 µg","AZT 
30 µg","LEV 
5 µg","CIP 
5 µg","CFT 
30 µg","GEN 
10 µg","AMK 
30 µg","MEP 
10 µg","IMP 
10 µg"
SS21ST,21.5,26,24,29.5,27.5,23,11,31,31,37.5,30,22.5,25,38,21
SS13ST,23,29,28,32,23,26,0,36,35,37,32,24,23,36,25
SS27ST,22,28,27,32,28,24,11,31,30,34,30,21,24,36,14
SS11ST,21,24,24,26,23,25,0,28,25,33,25,18,22,29,24
SS17ST17B,23.5,25,27,31.5,25,28,11,30,31,34,26,20,22,32,28
MF27,19,29,26,30,26,25,0,31,35,35,32,18,21.5,30,20
M18B,18,28.5,26,0,20.5,11,9,33,29,31,27,12,20,26,29
SSS21,20,26,25,0,27,8,0,34,22,24,31,18,20,30,24.5
Eps - 2,20,29,29,33,26,27,0,35,35,33,34,17,21,36,31
PA CTsa,12,10,25,15,0,12,0,25,27,32,16,19.5,25,36,22
PA CTsc,20,17,25,17,8,16,0,25,25,32,16,22,27,34,22.5
PA 2bctmd,19,14,25,12,0,18,0,24,29,34,15,20,26,34,28.5
PA CT20,18,13,26,12,0,16,0,25,29,32.5,13,21,25,35.5,24
PA C13 ,20,11.5,27,14,14.5,16.5,0,22,27.5,31,15,15,21,29,19
PA C18,13.5,21,22,25,19,12,9,26,25,25,24,17.5,19,28.5,22.5
PA C11,19,20,20.5,24,15,0,10,24.5,24,27,25,18.5,25,27,19.5
M11b,19,31,28,35,17,21,0,27,26,22,29,19,21,30,25
M18C,14,17.5,24,28,30,24,0,31,26,30,30,18,20,32,26
M15b,16,26,26,30,30,26,0,34,28,31,31,18.5,21,32.5,30
M15a,19,22.5,23,28,27,24,0,31,18,20,28,18,20,31.5,28
M24b,20,27,25.5,29,29,25,0,34,28,27,30,18.5,20.5,32,26.5
MaS1,17.5,19,22,27,26,22.5,0,30,26,28.5,30,18,20,30,27
Ma19m,18.5,25,22,24,26,21.5,0,28,24.5,27.5,26.5,17,20,29,25.5
M11c,20,25,26,27,22,28,22,32.5,32,34,29,19,22.5,33,25
Ma20m,19.5,27,26,29,19,25,0,27.5,26,23,25,18,21,29,24
M13,17,21,21,24,21,21.5,0,25,23.5,25,23,16,15.5,27,20
MaS23,19,24.5,25,23,26.5,22.5,0,15,19,20,0,18.5,20,30,24
MS2,19,23,22,25,25,21.5,11,29,25.5,29,28,16,18.5,28.5,25
25M2,21,27,28,30.5,0,26,13.5,37.5,29,33.5,35,20,23,32,35
M17,17.5,20.5,20.5,15,24,21.5,0,13.5,16,18,0,16.5,17.5,26.5,24
25m1,20.5,24,21.5,21,29,22,0,33.5,27.5,28,30,17,20,32.5,28.5
M10,21,25,26,30.5,27.5,22,8.5,32.5,28,26,29,20,20,33,27
Ms8R,21,27,0,31,28.5,24,0,37.5,29,28,33,17,21,27,22
M14C,21,25,25.5,30,20,24,14,30,29.5,32,27.5,19.5,21,32.5,25
M14a,20,24,23.5,27.5,0,26,8,31.5,30,31.5,30,19,21.5,32,29
